entry_time,direction,entry_price,exit_time,exit_price,sl_price,tp_price,pnl,exit_hit,mode,poi_kind
2025-11-17 13:10:00+00:00,short,4081.345,2025-11-17 13:50:00+00:00,4060.905,4092.565,4060.905,15.024458848737071,TP,aggressive,fvg
2025-11-18 08:15:00+00:00,short,4024.855,2025-11-18 08:30:00+00:00,4027.145,4027.145,4008.215,-1.706893788720312,SL,aggressive,fvg
2025-11-21 15:45:00+00:00,long,4063.165,2025-11-21 16:35:00+00:00,4076.385,4054.378,4076.385,9.760863760147759,TP,aggressive,fvg
2025-11-25 12:25:00+00:00,short,4135.505,2025-11-25 12:40:00+00:00,4127.195,4139.085,4127.195,6.028284332868949,TP,aggressive,ob
2025-11-26 06:25:00+00:00,long,4159.205,2025-11-26 06:30:00+00:00,4155.375,4155.375,4168.425,-2.7625471694710364,SL,aggressive,fvg
2025-11-27 06:15:00+00:00,short,4153.139,2025-11-27 06:20:00+00:00,4155.055,4155.055,4148.605,-1.3840133932431593,SL,aggressive,ob
2025-11-28 07:55:00+00:00,long,4175.165,2025-11-28 07:55:00+00:00,4172.468,4172.468,4188.495,-1.9378874846863177,SL,aggressive,fvg
2025-12-01 05:15:00+00:00,long,4232.355,2025-12-01 05:15:00+00:00,4228.745,4228.745,4256.245,-2.5588590749119624,SL,aggressive,ob
2025-12-02 19:10:00+00:00,short,4196.195,2025-12-02 19:10:00+00:00,4197.525,4197.525,4185.415,-0.9508614351811061,SL,aggressive,fvg
2025-12-09 13:30:00+00:00,long,4201.825,2025-12-09 13:30:00+00:00,4197.675,4197.675,4211.605,-2.9629982210108485,SL,aggressive,fvg
2025-12-09 13:40:00+00:00,long,4198.648,2025-12-09 14:05:00+00:00,4196.025,4196.025,4206.325,-1.8741747343434139,SL,aggressive,fvg
2025-12-09 14:10:00+00:00,long,4197.475,2025-12-09 14:10:00+00:00,4194.065,4194.065,4206.325,-2.437179494815881,SL,aggressive,fvg
2025-12-10 03:45:00+00:00,long,4206.748,2025-12-10 03:50:00+00:00,4205.665,4205.665,4210.195,-0.7723305508195135,SL,aggressive,ob
2025-12-11 02:45:00+00:00,long,4226.835,2025-12-11 03:05:00+00:00,4219.725,4219.725,4238.445,-5.046328990840433,SL,aggressive,fvg
