entry_time,exit_time,direction,leg,pnl,exit_hit
2025-12-20 17:28:00+00:00,2025-12-20 17:28:00+00:00,long,full,2.465975577337108,init_sl
2025-12-20 17:30:00+00:00,2025-12-20 17:30:00+00:00,long,full,2.4666253274821215,init_sl
2025-12-20 17:32:00+00:00,2025-12-20 17:32:00+00:00,long,full,2.4457632359395474,init_sl
2025-12-22 21:53:00+00:00,2025-12-22 21:55:00+00:00,long,remainder,-2.250436908538274,ema21_close
2025-12-24 12:25:00+00:00,2025-12-24 12:25:00+00:00,long,remainder,-2.505720287602376,ema21_close
2025-12-24 12:30:00+00:00,2025-12-24 12:30:00+00:00,long,remainder,-2.318311529021189,ema21_close
2025-12-24 12:58:00+00:00,2025-12-24 12:58:00+00:00,long,full,-3.4740692035816214,init_sl
2025-12-24 16:55:00+00:00,2025-12-24 16:56:00+00:00,long,partial,-0.8398870804224008,partial_tp
2025-12-24 16:55:00+00:00,2025-12-24 16:57:00+00:00,long,remainder,0.8372552115450278,runner_resistance
2025-12-26 08:42:00+00:00,2025-12-26 08:42:00+00:00,long,remainder,-3.7280079811682807,runner_resistance
2025-12-26 09:11:00+00:00,2025-12-26 09:12:00+00:00,long,remainder,-2.2618792872332296,ema21_close
2025-12-26 09:34:00+00:00,2025-12-26 09:36:00+00:00,long,full,-4.5227231149073,init_sl
2025-12-27 18:00:00+00:00,2025-12-27 18:08:00+00:00,long,partial,-0.8571275041286852,partial_tp
2025-12-27 18:00:00+00:00,2025-12-27 18:08:00+00:00,long,remainder,-1.0002305237931184,runner_resistance
2025-12-27 18:29:00+00:00,2025-12-27 18:29:00+00:00,long,remainder,-3.084290155925615,runner_resistance
2025-12-27 18:31:00+00:00,2025-12-27 18:31:00+00:00,long,remainder,-3.0832720308331742,runner_resistance
2025-12-28 08:53:00+00:00,2025-12-28 08:53:00+00:00,long,remainder,-1.8879030199252542,ema21_close
2025-12-28 08:55:00+00:00,2025-12-28 08:55:00+00:00,long,remainder,-1.877304536584818,ema21_close
2026-01-02 08:24:00+00:00,2026-01-02 08:30:00+00:00,long,partial,-0.8168966190915641,partial_tp
2026-01-02 08:24:00+00:00,2026-01-02 08:32:00+00:00,long,remainder,-1.877316458882779,breakeven
2026-01-02 11:09:00+00:00,2026-01-02 11:10:00+00:00,long,full,-4.9800625101703915,init_sl
2026-01-04 10:03:00+00:00,2026-01-04 10:03:00+00:00,long,remainder,-2.0150981657331486,ema21_close
2026-01-04 10:13:00+00:00,2026-01-04 10:13:00+00:00,long,remainder,-1.8861875505119348,ema21_close
2026-01-04 11:26:00+00:00,2026-01-04 11:30:00+00:00,short,partial,-0.8037267251922675,partial_tp
2026-01-04 11:26:00+00:00,2026-01-04 11:30:00+00:00,short,remainder,-1.6072649244596997,runner_support
2026-01-04 12:08:00+00:00,2026-01-04 12:09:00+00:00,short,remainder,-1.8853482253554164,ema21_close
2026-01-04 17:26:00+00:00,2026-01-04 17:48:00+00:00,long,remainder,-2.418872630010664,ema21_close
2026-01-05 09:37:00+00:00,2026-01-05 09:37:00+00:00,long,full,-5.4021762868357115,init_sl
2026-01-05 09:40:00+00:00,2026-01-05 09:42:00+00:00,long,partial,-0.8254380202303087,partial_tp
2026-01-05 09:40:00+00:00,2026-01-05 09:42:00+00:00,long,remainder,-0.6474470499887583,runner_resistance
2026-01-06 17:28:00+00:00,2026-01-06 17:28:00+00:00,long,remainder,-2.864023892326919,runner_resistance
2026-01-06 17:30:00+00:00,2026-01-06 17:30:00+00:00,long,partial,-0.8382821519389234,partial_tp
2026-01-06 17:30:00+00:00,2026-01-06 17:30:00+00:00,long,remainder,-2.2847001230787303,runner_resistance
2026-01-09 09:52:00+00:00,2026-01-09 09:52:00+00:00,long,remainder,-2.0887154892947057,ema21_close
2026-01-09 20:41:00+00:00,2026-01-09 20:41:00+00:00,long,full,-5.947575570096733,init_sl
2026-01-10 09:06:00+00:00,2026-01-10 09:07:00+00:00,long,remainder,-1.365030711130934,runner_resistance
2026-01-10 09:18:00+00:00,2026-01-10 09:22:00+00:00,long,remainder,-1.9203180439303777,ema21_close
2026-01-10 11:22:00+00:00,2026-01-10 11:29:00+00:00,short,remainder,-1.878795688879458,ema21_close
2026-01-11 09:41:00+00:00,2026-01-11 09:44:00+00:00,long,remainder,-1.6010954603390473,runner_resistance
2026-01-12 09:32:00+00:00,2026-01-12 09:32:00+00:00,long,full,-5.631422921101142,init_sl
2026-01-13 08:50:00+00:00,2026-01-13 08:53:00+00:00,long,remainder,-2.2691195419866466,ema21_close
2026-01-13 09:12:00+00:00,2026-01-13 09:12:00+00:00,long,remainder,-1.986816006046805,ema21_close
2026-01-14 09:28:00+00:00,2026-01-14 09:28:00+00:00,long,remainder,-1.8655355598617678,ema21_close
2026-01-14 19:16:00+00:00,2026-01-14 19:16:00+00:00,long,partial,-0.8661456630725795,partial_tp
2026-01-14 19:16:00+00:00,2026-01-14 19:27:00+00:00,long,remainder,0.532475752892482,ema21_close
2026-01-15 10:59:00+00:00,2026-01-15 10:59:00+00:00,long,remainder,-7.166194689406058,runner_resistance
2026-01-15 11:04:00+00:00,2026-01-15 11:04:00+00:00,long,remainder,-7.220667651340154,runner_resistance
2026-01-16 21:52:00+00:00,2026-01-16 21:52:00+00:00,long,remainder,-3.6312070754053254,runner_resistance
2026-01-16 21:54:00+00:00,2026-01-16 21:54:00+00:00,long,remainder,-3.6096973541757054,runner_resistance
2026-01-17 11:52:00+00:00,2026-01-17 11:52:00+00:00,long,remainder,-2.472722713275835,ema21_close
2026-01-17 20:05:00+00:00,2026-01-17 20:05:00+00:00,long,full,-1.8535129520464366,init_sl
2026-01-17 20:11:00+00:00,2026-01-17 20:11:00+00:00,long,full,-3.539274518998909,init_sl
2026-01-18 08:19:00+00:00,2026-01-18 08:30:00+00:00,long,full,-5.817658403534077,init_sl
2026-01-18 14:47:00+00:00,2026-01-18 15:04:00+00:00,long,partial,-0.8590630071714384,partial_tp
2026-01-18 14:47:00+00:00,2026-01-18 15:04:00+00:00,long,remainder,-1.4784235172486606,runner_resistance
